code,name,visa_lead_weeks,cost_of_living_eur,in_scope
FR,France,0,1100,false
DE,Allemagne,0,1100,true
NL,Pays-Bas,0,1400,true
BE,Belgique,0,1150,true
AT,Autriche,0,1100,true
CH,Suisse,2,2200,true
ES,Espagne,0,1000,true
IT,Italie,0,1000,true
PL,Pologne,0,750,true
IE,Irlande,0,1600,true
PT,Portugal,0,900,true
SE,Suède,0,1200,true
DK,Danemark,0,1400,true
FI,Finlande,0,1100,true
NO,Norvège,0,1500,true
LU,Luxembourg,0,1500,true
CZ,Tchéquie,0,850,true
GB,Royaume-Uni,6,1500,true
US,États-Unis,12,2200,true
CA,Canada,16,1600,true
SG,Singapour,6,1800,true
AU,Australie,8,1700,true
